Year,Hour,Fuel,Value
2026,94,Mobility,-0.0
2026,94,Cooking,-0.0
2026,94,Diesel,-0.0
2026,94,FireWood,-0.0
2026,95,Power,-0.0
2026,95,Heat,-0.0
2026,95,Mobility,-0.0
2026,95,Cooking,-0.0
2026,95,Diesel,-0.0
2026,95,FireWood,-0.0
2026,96,Power,-0.0
2026,96,Heat,-0.0
2026,96,Mobility,-0.0
2026,96,Cooking,-0.0
2026,96,Diesel,-0.0
2026,96,FireWood,-0.0
2026,97,Power,-0.0
2026,97,Heat,-0.0
2026,97,Mobility,-0.0
2026,97,Cooking,-0.0
2026,97,Diesel,-0.0
2026,97,FireWood,-0.0
2026,98,Power,-0.0
2026,98,Heat,-0.0
2026,98,Mobility,-0.0
2026,98,Cooking,-0.0
2026,98,Diesel,-0.0
2026,98,FireWood,-0.0
2026,99,Power,-0.0
2026,99,Heat,-0.0
2026,99,Mobility,-0.0
2026,99,Cooking,-0.0
2026,99,Diesel,-0.0
2026,99,FireWood,-0.0
2026,100,Power,-0.0
2026,100,Heat,-0.0
2026,100,Mobility,-0.0
2026,100,Cooking,-0.0
2026,100,Diesel,-0.0
2026,100,FireWood,-0.0
2026,101,Power,-0.0
2026,101,Heat,-0.0
2026,101,Mobility,-0.0
2026,101,Cooking,-0.0
2026,101,Diesel,-0.0
2026,101,FireWood,-0.0
2026,102,Power,-0.0
2026,102,Heat,-0.0
2026,102,Mobility,-0.0
2026,102,Cooking,-0.0
2026,102,Diesel,-0.0
2026,102,FireWood,-0.0
2026,103,Power,-0.0
2026,103,Heat,-0.0
2026,103,Mobility,-0.0
2026,103,Cooking,-0.0
2026,103,Diesel,-0.0
2026,103,FireWood,-0.0
2026,104,Power,-0.0
2026,104,Heat,-0.0
2026,104,Mobility,-0.0
2026,104,Cooking,-1.1102230246251565e-16
2026,104,Diesel,-0.0
2026,104,FireWood,-0.0
2026,105,Power,-0.0
2026,105,Heat,-0.0
2026,105,Mobility,-0.0
2026,105,Cooking,-0.0
2026,105,Diesel,-0.0
2026,105,FireWood,-0.0
2026,106,Power,-0.0
2026,106,Heat,-0.0
2026,106,Mobility,-0.0
2026,106,Cooking,-0.0
2026,106,Diesel,-0.0
2026,106,FireWood,-0.0
2026,107,Power,-0.0
2026,107,Heat,-0.0
2026,107,Mobility,-0.0
2026,107,Cooking,-0.0
2026,107,Diesel,-0.0
2026,107,FireWood,-0.0
2026,108,Power,-0.0
2026,108,Heat,-0.0
2026,108,Mobility,-0.0
2026,108,Cooking,-0.0
2026,108,Diesel,-0.0
2026,108,FireWood,-0.0
2026,109,Power,-0.0
2026,109,Heat,-0.0
2026,109,Mobility,-0.0
2026,109,Cooking,-0.0
2026,109,Diesel,-0.0
2026,109,FireWood,-0.0
2026,110,Power,-0.0
2026,110,Heat,-0.0
2026,110,Mobility,-0.0
2026,110,Cooking,-0.0
2026,110,Diesel,-0.0
2026,110,FireWood,-0.0
2026,111,Power,-0.0
2026,111,Heat,-0.0
2026,111,Mobility,-0.0
2026,111,Cooking,-0.0
2026,111,Diesel,-0.0
2026,111,FireWood,-0.0
2026,112,Power,-0.0
2026,112,Heat,-0.0
2026,112,Mobility,-0.0
2026,112,Cooking,-0.0
2026,112,Diesel,-0.0
2026,112,FireWood,-0.0
2026,113,Power,-0.0
2026,113,Heat,-0.0
2026,113,Mobility,-0.0
2026,113,Cooking,-0.0
2026,113,Diesel,-0.0
2026,113,FireWood,-0.0
2026,114,Power,-0.0
2026,114,Heat,-0.0
2026,114,Mobility,-0.0
2026,114,Cooking,-0.0
2026,114,Diesel,-0.0
2026,114,FireWood,-0.0
2026,115,Power,-0.0
2026,115,Heat,-0.0
2026,115,Mobility,-0.0
2026,115,Cooking,-0.0
2026,115,Diesel,-0.0
2026,115,FireWood,-0.0
2026,116,Power,-0.0
2026,116,Heat,-0.0
2026,116,Mobility,-0.0
2026,116,Cooking,-0.0
2026,116,Diesel,-0.0
2026,116,FireWood,-0.0
2026,117,Power,-0.0
2026,117,Heat,-0.0
2026,117,Mobility,-0.0
2026,117,Cooking,-0.0
2026,117,Diesel,-0.0
2026,117,FireWood,-0.0
2026,118,Power,-0.0
2026,118,Heat,-0.0
2026,118,Mobility,-0.0
2026,118,Cooking,-0.0
2026,118,Diesel,-0.0
2026,118,FireWood,-0.0
