fuel,hour,value
Power,1318,0.00014
Power,1319,0.00014
Power,1320,0.00014
Power,1321,0.00009
Power,1322,0.00009
Power,1323,0.00009
Power,1324,0.00008
Power,1325,0.00008
Power,1326,0.00008
Power,1327,0.00009
Power,1328,0.00008
Power,1329,0.0001
Power,1330,0.00012
Power,1331,0.00013
Power,1332,0.00006
Power,1333,0.00011
Power,1334,0.00011
Power,1335,0.00011
Power,1336,0.00012
Power,1337,0.00012
Power,1338,0.00012
Power,1339,0.00012
Power,1340,0.00013
Power,1341,0.00013
Power,1342,0.00014
Power,1343,0.00013
Power,1344,0.00013
Power,1345,0.00011
Power,1346,0.00009
Power,1347,0.00009
Power,1348,0.00009
Power,1349,0.00009
Power,1350,0.00008
Power,1351,0.00009
Power,1352,0.0001
Power,1353,0.00011
Power,1354,0.00012
Power,1355,0.00012
Power,1356,0.00014
Power,1357,0.00013
Power,1358,0.00012
Power,1359,0.00012
