technology,hour,value
WindOnshore,771,0.75
WindOnshore,772,0.70
WindOnshore,773,0.73
WindOnshore,774,0.67
WindOnshore,775,0.73
WindOnshore,776,0.68
WindOnshore,777,0.78
WindOnshore,778,0.89
WindOnshore,779,0.93
WindOnshore,780,0.91
WindOnshore,781,0.86
WindOnshore,782,0.88
WindOnshore,783,0.88
WindOnshore,784,0.85
WindOnshore,785,0.80
WindOnshore,786,0.79
WindOnshore,787,0.85
WindOnshore,788,0.78
WindOnshore,789,0.80
WindOnshore,790,0.71
WindOnshore,791,0.69
WindOnshore,792,0.75
WindOnshore,793,0.72
WindOnshore,794,0.78
WindOnshore,795,0.86
WindOnshore,796,0.88
WindOnshore,797,0.86
WindOnshore,798,0.90
WindOnshore,799,0.93
WindOnshore,800,0.93
WindOnshore,801,0.93
WindOnshore,802,0.93
WindOnshore,803,0.91
WindOnshore,804,0.93
WindOnshore,805,0.97
WindOnshore,806,0.98
WindOnshore,807,0.88
WindOnshore,808,0.81
WindOnshore,809,0.82
WindOnshore,810,0.70
WindOnshore,811,0.63
WindOnshore,812,0.63
WindOnshore,813,0.70
WindOnshore,814,0.68
WindOnshore,815,0.67
WindOnshore,816,0.61
WindOnshore,817,0.53
WindOnshore,818,0.58
WindOnshore,819,0.61
WindOnshore,820,0.68
WindOnshore,821,0.61
WindOnshore,822,0.66
WindOnshore,823,0.75
WindOnshore,824,0.83
WindOnshore,825,0.98
WindOnshore,826,0.96
WindOnshore,827,0.81
WindOnshore,828,0.78
WindOnshore,829,0.89
WindOnshore,830,0.81
WindOnshore,831,0.86
WindOnshore,832,0.80
WindOnshore,833,0.88
WindOnshore,834,0.99
WindOnshore,835,0.97
WindOnshore,836,0.95
WindOnshore,837,0.91
WindOnshore,838,0.97
WindOnshore,839,1.00
WindOnshore,840,1.02
WindOnshore,841,1.03
WindOnshore,842,1.01
WindOnshore,843,1.01
WindOnshore,844,1.01
WindOnshore,845,0.99
WindOnshore,846,0.93
WindOnshore,847,0.91
WindOnshore,848,0.90
WindOnshore,849,0.89
WindOnshore,850,0.86
WindOnshore,851,0.94
WindOnshore,852,0.91
WindOnshore,853,0.73
WindOnshore,854,0.76
WindOnshore,855,0.77
WindOnshore,856,0.80
WindOnshore,857,0.80
WindOnshore,858,0.84
WindOnshore,859,0.68
WindOnshore,860,0.55
WindOnshore,861,0.64
WindOnshore,862,0.61
WindOnshore,863,0.47
WindOnshore,864,0.42
WindOnshore,865,0.52
WindOnshore,866,0.47
WindOnshore,867,0.43
WindOnshore,868,0.43
WindOnshore,869,0.36
WindOnshore,870,0.34
WindOnshore,871,0.27
WindOnshore,872,0.27
WindOnshore,873,0.33
WindOnshore,874,0.35
WindOnshore,875,0.24
WindOnshore,876,0.28
WindOnshore,877,0.57
WindOnshore,878,0.60
WindOnshore,879,0.72
WindOnshore,880,0.88
WindOnshore,881,0.65
WindOnshore,882,0.71
WindOnshore,883,0.68
WindOnshore,884,0.69
WindOnshore,885,0.59
WindOnshore,886,0.57
WindOnshore,887,0.55
WindOnshore,888,0.54
WindOnshore,889,0.55
WindOnshore,890,0.65
WindOnshore,891,0.62
WindOnshore,892,0.64
WindOnshore,893,0.76
WindOnshore,894,0.71
WindOnshore,895,0.72
WindOnshore,896,0.63
WindOnshore,897,0.48
WindOnshore,898,0.48
WindOnshore,899,0.49
WindOnshore,900,0.51
WindOnshore,901,0.61
WindOnshore,902,0.56
WindOnshore,903,0.53
WindOnshore,904,0.56
WindOnshore,905,0.58
WindOnshore,906,0.55
WindOnshore,907,0.43
WindOnshore,908,0.33
WindOnshore,909,0.42
WindOnshore,910,0.43
WindOnshore,911,0.40
WindOnshore,912,0.41
WindOnshore,913,0.35
WindOnshore,914,0.25
WindOnshore,915,0.33
WindOnshore,916,0.28
WindOnshore,917,0.35
WindOnshore,918,0.36
WindOnshore,919,0.46
WindOnshore,920,0.60
WindOnshore,921,0.54
WindOnshore,922,0.53
WindOnshore,923,0.61
WindOnshore,924,0.63
WindOnshore,925,0.61
WindOnshore,926,0.56
WindOnshore,927,0.51
WindOnshore,928,0.61
WindOnshore,929,0.60
WindOnshore,930,0.58
WindOnshore,931,0.63
WindOnshore,932,0.55
WindOnshore,933,0.58
WindOnshore,934,0.52
WindOnshore,935,0.56
WindOnshore,936,0.44
WindOnshore,937,0.60
WindOnshore,938,0.53
WindOnshore,939,0.43
WindOnshore,940,0.37
WindOnshore,941,0.35
WindOnshore,942,0.35
WindOnshore,943,0.35
WindOnshore,944,0.33
WindOnshore,945,0.35
WindOnshore,946,0.30
WindOnshore,947,0.28
WindOnshore,948,0.34
WindOnshore,949,0.38
WindOnshore,950,0.30
WindOnshore,951,0.27
WindOnshore,952,0.27
WindOnshore,953,0.26
WindOnshore,954,0.44
WindOnshore,955,0.41
WindOnshore,956,0.39
WindOnshore,957,0.46
WindOnshore,958,0.43
WindOnshore,959,0.40
WindOnshore,960,0.36
WindOnshore,961,0.28
WindOnshore,962,0.23
WindOnshore,963,0.24
WindOnshore,964,0.25
WindOnshore,965,0.22
WindOnshore,966,0.22
WindOnshore,967,0.21
WindOnshore,968,0.25
WindOnshore,969,0.23
WindOnshore,970,0.15
WindOnshore,971,0.14
WindOnshore,972,0.22
WindOnshore,973,0.28
WindOnshore,974,0.32
WindOnshore,975,0.28
WindOnshore,976,0.33
WindOnshore,977,0.26
WindOnshore,978,0.23
WindOnshore,979,0.26
WindOnshore,980,0.21
WindOnshore,981,0.23
WindOnshore,982,0.22
WindOnshore,983,0.23
WindOnshore,984,0.35
WindOnshore,985,0.38
WindOnshore,986,0.36
WindOnshore,987,0.39
WindOnshore,988,0.38
WindOnshore,989,0.41
WindOnshore,990,0.42
WindOnshore,991,0.40
WindOnshore,992,0.44
WindOnshore,993,0.48
WindOnshore,994,0.58
WindOnshore,995,0.68
WindOnshore,996,0.76
WindOnshore,997,0.78
WindOnshore,998,0.71
WindOnshore,999,0.66
WindOnshore,1000,0.70
WindOnshore,1001,0.72
WindOnshore,1002,0.75
WindOnshore,1003,0.73
WindOnshore,1004,0.72
WindOnshore,1005,0.77
WindOnshore,1006,0.76
WindOnshore,1007,0.71
WindOnshore,1008,0.71
WindOnshore,1009,0.62
WindOnshore,1010,0.61
WindOnshore,1011,0.74
WindOnshore,1012,0.78
WindOnshore,1013,0.77
WindOnshore,1014,0.78
WindOnshore,1015,0.81
WindOnshore,1016,0.86
WindOnshore,1017,0.89
WindOnshore,1018,0.88
WindOnshore,1019,0.92
WindOnshore,1020,0.93
WindOnshore,1021,0.95
WindOnshore,1022,0.95
WindOnshore,1023,0.85
WindOnshore,1024,0.84
WindOnshore,1025,0.87
WindOnshore,1026,0.81
WindOnshore,1027,0.73
WindOnshore,1028,0.78
WindOnshore,1029,0.83
WindOnshore,1030,0.92
WindOnshore,1031,0.95
WindOnshore,1032,1.00
WindOnshore,1033,1.01
WindOnshore,1034,1.02
WindOnshore,1035,1.03
WindOnshore,1036,1.01
WindOnshore,1037,0.98
WindOnshore,1038,0.98
WindOnshore,1039,1.00
WindOnshore,1040,1.03
WindOnshore,1041,1.04
WindOnshore,1042,1.04
WindOnshore,1043,1.05
WindOnshore,1044,1.05
WindOnshore,1045,1.05
WindOnshore,1046,1.05
WindOnshore,1047,1.05
WindOnshore,1048,1.05
WindOnshore,1049,1.03
WindOnshore,1050,1.03
WindOnshore,1051,1.03
WindOnshore,1052,1.03
WindOnshore,1053,1.03
WindOnshore,1054,1.03
WindOnshore,1055,1.03
WindOnshore,1056,1.03
WindOnshore,1057,1.01
WindOnshore,1058,1.03
WindOnshore,1059,1.03
WindOnshore,1060,1.03
WindOnshore,1061,1.03
WindOnshore,1062,1.03
WindOnshore,1063,1.02
WindOnshore,1064,1.01
WindOnshore,1065,1.01
WindOnshore,1066,1.01
WindOnshore,1067,1.01
WindOnshore,1068,1.02
