Hour,Technology,Value
254,DieselImports,
255,SolarPV,
255,WindOnshore,
255,HydroPower,
255,DieselGenerator,
255,DieselImports,
256,SolarPV,
256,WindOnshore,
256,HydroPower,
256,DieselGenerator,
256,DieselImports,
257,SolarPV,
257,WindOnshore,
257,HydroPower,
257,DieselGenerator,
257,DieselImports,
258,SolarPV,
258,WindOnshore,
258,HydroPower,
258,DieselGenerator,
258,DieselImports,
259,SolarPV,
259,WindOnshore,
259,HydroPower,
259,DieselGenerator,
259,DieselImports,
260,SolarPV,
260,WindOnshore,
260,HydroPower,
260,DieselGenerator,
260,DieselImports,
261,SolarPV,
261,WindOnshore,
261,HydroPower,
261,DieselGenerator,
261,DieselImports,
262,SolarPV,
262,WindOnshore,
262,HydroPower,
262,DieselGenerator,
262,DieselImports,
263,SolarPV,
263,WindOnshore,
263,HydroPower,
263,DieselGenerator,
263,DieselImports,
264,SolarPV,
264,WindOnshore,
264,HydroPower,
264,DieselGenerator,
264,DieselImports,
265,SolarPV,
265,WindOnshore,
265,HydroPower,
265,DieselGenerator,
265,DieselImports,
266,SolarPV,
266,WindOnshore,
266,HydroPower,
266,DieselGenerator,
266,DieselImports,
267,SolarPV,
267,WindOnshore,
267,HydroPower,
267,DieselGenerator,
267,DieselImports,
268,SolarPV,
268,WindOnshore,
268,HydroPower,
268,DieselGenerator,
268,DieselImports,
269,SolarPV,
269,WindOnshore,
269,HydroPower,
269,DieselGenerator,
269,DieselImports,
270,SolarPV,
270,WindOnshore,
270,HydroPower,
270,DieselGenerator,
270,DieselImports,
271,SolarPV,
271,WindOnshore,
271,HydroPower,
271,DieselGenerator,
271,DieselImports,
272,SolarPV,
272,WindOnshore,
272,HydroPower,
272,DieselGenerator,
272,DieselImports,
273,SolarPV,
273,WindOnshore,
273,HydroPower,
273,DieselGenerator,
273,DieselImports,
274,SolarPV,
274,WindOnshore,
274,HydroPower,
274,DieselGenerator,
274,DieselImports,
275,SolarPV,
275,WindOnshore,
275,HydroPower,
275,DieselGenerator,
275,DieselImports,
276,SolarPV,
276,WindOnshore,
276,HydroPower,
276,DieselGenerator,
276,DieselImports,
277,SolarPV,
277,WindOnshore,
277,HydroPower,
277,DieselGenerator,
277,DieselImports,
278,SolarPV,
278,WindOnshore,
278,HydroPower,
278,DieselGenerator,
278,DieselImports,
279,SolarPV,
279,WindOnshore,
279,HydroPower,
279,DieselGenerator,
279,DieselImports,
280,SolarPV,
280,WindOnshore,
280,HydroPower,
280,DieselGenerator,
280,DieselImports,
281,SolarPV,
281,WindOnshore,
281,HydroPower,
281,DieselGenerator,
281,DieselImports,
282,SolarPV,
282,WindOnshore,
282,HydroPower,
282,DieselGenerator,
282,DieselImports,
283,SolarPV,
283,WindOnshore,
283,HydroPower,
283,DieselGenerator,
283,DieselImports,
284,SolarPV,
284,WindOnshore,
284,HydroPower,
284,DieselGenerator,
284,DieselImports,
285,SolarPV,
285,WindOnshore,
285,HydroPower,
285,DieselGenerator,
285,DieselImports,
286,SolarPV,
286,WindOnshore,
286,HydroPower,
286,DieselGenerator,
286,DieselImports,
287,SolarPV,
287,WindOnshore,
287,HydroPower,
287,DieselGenerator,
287,DieselImports,
288,SolarPV,
288,WindOnshore,
288,HydroPower,
288,DieselGenerator,
288,DieselImports,
289,SolarPV,
289,WindOnshore,
289,HydroPower,
289,DieselGenerator,
289,DieselImports,
290,SolarPV,
290,WindOnshore,
290,HydroPower,
290,DieselGenerator,
290,DieselImports,
291,SolarPV,
291,WindOnshore,
